candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
dot_try_except.py,locate_change,Locate nullable attribute access points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,1,
dot_try_except.py,rule_change,Treat empty bio as missing,1,88.19,1.0,1.0,0.879,1.0,0.0,4,0,
dot_try_except.py,feature_add,Add nullable phone_number with normalization,1,86.82,1.0,1.0,0.788,1.0,0.0,7,0,
dot_try_except.py,rename,Rename last_login to last_seen_at,1,88.19,1.0,1.0,0.879,1.0,0.0,4,0,
dot_try_except.py,explain_code,Explain nullable attribute handling,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
getattr_default.py,locate_change,Locate nullable attribute access points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,1,
getattr_default.py,rule_change,Treat empty bio as missing,1,83.75,1.0,1.0,0.583,1.0,0.0,5,0,
getattr_default.py,feature_add,Add nullable phone_number with normalization,1,85.0,1.0,1.0,0.667,1.0,0.0,4,0,
getattr_default.py,rename,Rename last_login to last_seen_at,1,85.0,1.0,1.0,0.667,1.0,0.0,4,0,
getattr_default.py,explain_code,Explain nullable attribute handling,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
hasattr_getattr.py,locate_change,Locate nullable attribute access points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,2,
hasattr_getattr.py,rule_change,Treat empty bio as missing,1,87.6,1.0,1.0,0.84,1.0,0.0,4,0,
hasattr_getattr.py,feature_add,Add nullable phone_number with normalization,1,87.6,1.0,1.0,0.84,1.0,0.0,4,0,
hasattr_getattr.py,rename,Rename last_login to last_seen_at,1,87.6,1.0,1.0,0.84,1.0,0.0,4,0,
hasattr_getattr.py,explain_code,Explain nullable attribute handling,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
