candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
discount_if_else.py,locate_change,Locate change points,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,1,
discount_if_else.py,policy_change,Policy change,1,70.06,1.0,1.0,0.471,0.2,0.0,9,0,
discount_if_else.py,feature_add,Feature add,1,85.59,1.0,1.0,0.706,1.0,0.0,5,0,
discount_if_else.py,edge_bugfix,Edge case bugfix,1,63.36,0.7,1.0,0.824,0.2,0.0,3,0,
discount_if_else.py,explain_code,Explain code,1,68.67,0.3333333333333333,1.0,1.0,1.0,0.5333333333333333,0,2,
discount_rules.py,locate_change,Locate change points,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,1,
discount_rules.py,policy_change,Policy change,1,70.5,1.0,1.0,0.5,0.2,0.0,8,0,
discount_rules.py,feature_add,Feature add,1,85.32,1.0,1.0,0.688,1.0,0.0,5,0,
discount_rules.py,edge_bugfix,Edge case bugfix,1,64.12,0.7,1.0,0.875,0.2,0.0,2,0,
discount_rules.py,explain_code,Explain code,1,68.67,0.3333333333333333,1.0,1.0,1.0,0.5333333333333333,0,3,
discount_strategy.py,locate_change,Locate change points,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,2,
discount_strategy.py,policy_change,Policy change,1,72.14,1.0,1.0,0.609,0.2,0.0,9,0,
discount_strategy.py,feature_add,Feature add,1,85.44,1.0,1.0,0.696,1.0,0.0,7,0,
discount_strategy.py,edge_bugfix,Edge case bugfix,1,62.75,0.7,1.0,0.783,0.2,0.0,5,0,
discount_strategy.py,explain_code,Explain code,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,4,
