candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
discount_if_else.py,locate_change,Locate change points,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,1,
discount_if_else.py,policy_change,Policy change,1,82.94,1.0,1.0,0.529,1.0,0.0,8,0,
discount_if_else.py,feature_add,Feature add,1,88.23,1.0,1.0,0.882,1.0,0.0,2,0,
discount_if_else.py,edge_bugfix,Edge case bugfix,1,88.23,1.0,1.0,0.882,1.0,0.0,2,0,
discount_if_else.py,explain_code,Explain code,1,100.0,1.0,1.0,1.0,1.0,1.0,0,1,
discount_rules.py,locate_change,Locate change points,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,1,
discount_rules.py,policy_change,Policy change,1,82.5,1.0,1.0,0.5,1.0,0.0,8,0,
discount_rules.py,feature_add,Feature add,1,88.12,1.0,1.0,0.875,1.0,0.0,2,0,
discount_rules.py,edge_bugfix,Edge case bugfix,1,88.12,1.0,1.0,0.875,1.0,0.0,2,0,
discount_rules.py,explain_code,Explain code,1,100.0,1.0,1.0,1.0,1.0,1.0,0,1,
discount_strategy.py,locate_change,Locate change points,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,1,
discount_strategy.py,policy_change,Policy change,1,78.09,0.8,1.0,0.739,1.0,0.0,6,0,
discount_strategy.py,feature_add,Feature add,1,66.0,0.4,1.0,1.0,1.0,0.0,0,0,
discount_strategy.py,edge_bugfix,Edge case bugfix,1,88.69,1.0,1.0,0.913,1.0,0.0,2,0,
discount_strategy.py,explain_code,Explain code,1,100.0,1.0,1.0,1.0,1.0,1.0,0,1,
