candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
header_full.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,3,
header_full.py,rule_change,Channel/priority rule change (with description sync),1,82.17,1.0,1.0,0.478,1.0,0.0,24,0,
header_full.py,feature_add,Add quiet_hours gating step,1,81.53,1.0,1.0,0.435,1.0,0.0,26,0,
header_full.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,88.05,1.0,1.0,0.87,1.0,0.0,6,0,
header_full.py,explain_code,Explain notification flow,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,5,
post_validation_block.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,2,
post_validation_block.py,rule_change,Channel/priority rule change (with description sync),1,80.92,1.0,1.0,0.395,1.0,0.0,23,0,
post_validation_block.py,feature_add,Add quiet_hours gating step,1,79.74,1.0,1.0,0.316,1.0,0.0,26,0,
post_validation_block.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,87.63,1.0,1.0,0.842,1.0,0.0,6,0,
post_validation_block.py,explain_code,Explain notification flow,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,5,
split_inline.py,locate_change,Locate channel rule change points,1,100.0,1.0,1.0,1.0,1.0,1.0,0,2,
split_inline.py,rule_change,Channel/priority rule change (with description sync),1,80.73,1.0,1.0,0.382,1.0,0.0,21,0,
split_inline.py,feature_add,Add quiet_hours gating step,1,80.3,1.0,1.0,0.353,1.0,0.0,22,0,
split_inline.py,edge_bugfix,Fix preferred_channel case-sensitivity bug,1,87.8,1.0,1.0,0.853,1.0,0.0,5,0,
split_inline.py,explain_code,Explain notification flow,1,85.33,0.6666666666666666,1.0,1.0,1.0,0.8666666666666667,0,5,
