candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
anemic_service.py,single_action_add,Add single-aggregate action (unfreeze),1,87.86,1.0,1.0,0.857,1.0,0.0,5,0,
anemic_service.py,invariant_change,Invariant change (min_balance check),1,88.71,1.0,1.0,0.914,1.0,0.0,3,0,
anemic_service.py,cross_aggregate_workflow,Add cross-aggregate workflow (transfer_with_fee),1,87.0,1.0,1.0,0.8,1.0,0.0,7,0,
anemic_service.py,cross_cutting_audit,Add cross-cutting audit log,1,83.14,1.0,1.0,0.543,1.0,0.0,16,0,
anemic_service.py,explain_code,Explain layering style,1,77.0,0.5,1.0,1.0,1.0,0.7,0,5,
hybrid.py,single_action_add,Add single-aggregate action (unfreeze),1,88.2,1.0,1.0,0.88,1.0,0.0,3,0,
hybrid.py,invariant_change,Invariant change (min_balance check),1,87.0,1.0,1.0,0.8,1.0,0.0,5,0,
hybrid.py,cross_aggregate_workflow,Add cross-aggregate workflow (transfer_with_fee),1,86.4,1.0,1.0,0.76,1.0,0.0,6,0,
hybrid.py,cross_cutting_audit,Add cross-cutting audit log,1,85.8,1.0,1.0,0.72,1.0,0.0,7,0,
hybrid.py,explain_code,Explain layering style,1,77.0,0.5,1.0,1.0,1.0,0.7,0,5,
rich_domain.py,single_action_add,Add single-aggregate action (unfreeze),1,88.12,1.0,1.0,0.875,1.0,0.0,3,0,
rich_domain.py,invariant_change,Invariant change (min_balance check),1,86.88,1.0,1.0,0.792,1.0,0.0,5,0,
rich_domain.py,cross_aggregate_workflow,Add cross-aggregate workflow (transfer_with_fee),1,74.88,0.7,1.0,0.792,1.0,0.0,5,0,
rich_domain.py,cross_cutting_audit,Add cross-cutting audit log,1,85.62,1.0,1.0,0.708,1.0,0.0,7,0,
rich_domain.py,explain_code,Explain layering style,1,100.0,1.0,1.0,1.0,1.0,1.0,0,5,
