candidate,task_id,task_name,run,score,correctness,location_precision,diff_minimality,edge_preservation,explanation_quality,changed_lines,target_location_count,notes
domain_locals.py,change_step,Change filter threshold,1,89.16,1.0,1.0,0.944,1.0,0.0,2,0,
domain_locals.py,add_step,Insert normalize_timestamps step,1,87.5,1.0,1.0,0.833,1.0,0.0,6,0,
domain_locals.py,remove_step,Remove compute_stats step,1,83.75,1.0,1.0,0.583,1.0,0.0,15,0,
domain_locals.py,add_intermediate_use,Add stat that re-uses error_events,1,85.41,1.0,1.0,0.694,1.0,0.0,11,0,
domain_locals.py,explain_code,Explain pipeline orchestration style,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
inline_chain.py,change_step,Change filter threshold,1,89.14,1.0,1.0,0.943,1.0,0.0,2,0,
inline_chain.py,add_step,Insert normalize_timestamps step,1,87.44,1.0,1.0,0.829,1.0,0.0,6,0,
inline_chain.py,remove_step,Remove compute_stats step,1,83.56,1.0,1.0,0.571,1.0,0.0,15,0,
inline_chain.py,add_intermediate_use,Add stat that re-uses error_events,1,84.86,1.0,1.0,0.657,1.0,0.0,12,0,
inline_chain.py,explain_code,Explain pipeline orchestration style,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
with_locals.py,change_step,Change filter threshold,1,89.2,1.0,1.0,0.947,1.0,0.0,2,0,
with_locals.py,add_step,Insert normalize_timestamps step,1,88.02,1.0,1.0,0.868,1.0,0.0,5,0,
with_locals.py,remove_step,Remove compute_stats step,1,83.69,1.0,1.0,0.579,1.0,0.0,16,0,
with_locals.py,add_intermediate_use,Add stat that re-uses error_events,1,85.66,1.0,1.0,0.711,1.0,0.0,11,0,
with_locals.py,explain_code,Explain pipeline orchestration style,1,100.0,1.0,1.0,1.0,1.0,1.0,0,0,
